Epoch,Accuracy,Cross entropy,F1 score,Precision,Weight loss
0,0.3517792820930481,26.274248123168945,,,0.39395278692245483
1000,0.5116725564002991,20.250093460083008,,,0.31209638714790344
2000,0.7541087865829468,10.195402145385742,,,0.22683468461036682
3000,0.7499224543571472,10.369647026062012,,,0.16264565289020538
4000,0.7510599493980408,10.321878433227539,,,0.11703573167324066
5000,0.6882230639457703,12.920564651489258,,,0.0849454253911972
6000,0.7856093049049377,8.89011287689209,,,0.06251067668199539
7000,0.7619099020957947,9.872075080871582,,,0.046900611370801926
8000,0.8100451231002808,1.2083793878555298,,,0.043861228972673416
9000,0.8186750411987305,0.9680222272872925,,,0.04422879219055176
10000,0.8677560687065125,0.7130148410797119,,,0.04456173628568649
11000,0.897089958190918,0.5153409838676453,,,0.04489795118570328
12000,0.95332932472229,0.22427286207675934,,,0.045213401317596436
13000,0.8266840577125549,0.9960859417915344,,,0.04553855210542679
14000,0.8889714479446411,0.48818907141685486,,,0.04589393734931946
15000,0.7964621186256409,1.0807162523269653,,,0.046324435621500015
16000,0.9328153133392334,0.35690101981163025,,,0.04671604186296463
17000,0.955129086971283,0.2481074035167694,,,0.047097980976104736
18000,0.8589774370193481,0.6919514536857605,,,0.0474429689347744
19000,0.9124837517738342,0.4716552495956421,,,0.04780696704983711
20000,0.9034556746482849,0.4971751272678375,,,0.04815077781677246
21000,0.7617599368095398,1.19760262966156,,,0.04848824068903923
22000,0.8846185207366943,0.5501530170440674,,,0.04884377866983414
23000,0.8933774828910828,0.5678579807281494,,,0.04919188469648361
24000,0.8511971831321716,0.9389447569847107,,,0.04951370507478714
25000,0.8509503602981567,0.7673026323318481,,,0.049878597259521484
26000,0.9113744497299194,0.4772983193397522,,,0.05022735148668289
27000,0.9357146620750427,0.33370441198349,,,0.0505458302795887
28000,0.9146378636360168,0.409207284450531,,,0.050884444266557693
29000,0.9025593400001526,0.7496001124382019,,,0.05122711881995201
30000,0.8957421183586121,0.5483294725418091,,,0.051522016525268555
31000,0.9057942032814026,0.4710615575313568,,,0.05180481821298599
32000,0.9455068111419678,0.2626837491989136,,,0.052116576582193375
33000,0.8417378067970276,0.924467921257019,,,0.05241003632545471
34000,0.9481827020645142,0.2467464804649353,,,0.05269230902194977
35000,0.963695764541626,0.18886864185333252,,,0.05292358249425888
36000,0.9731999635696411,0.13780057430267334,,,0.05315735563635826
37000,0.9686230421066284,0.14893624186515808,,,0.05341896414756775
38000,0.9235982298851013,0.3743990361690521,,,0.05361706018447876
39000,0.9008616805076599,0.5012561082839966,,,0.053798310458660126
40000,0.9231145977973938,0.374735951423645,,,0.054027900099754333
41000,0.9736873507499695,0.13016749918460846,,,0.054187923669815063
42000,0.8173119425773621,0.9458829164505005,,,0.0543864481151104
43000,0.8674007654190063,0.6003429293632507,,,0.05452791973948479
44000,0.9677165150642395,0.15721452236175537,,,0.05465519055724144
45000,0.960914671421051,0.1734853833913803,,,0.054808709770441055
46000,0.965024471282959,0.1694273054599762,,,0.054954975843429565
47000,0.9819676876068115,0.09422466903924942,,,0.0551091805100441
48000,0.9590951800346375,0.1930002123117447,,,0.05520840361714363
49000,0.9565370082855225,,,,0.055341340601444244
