Epoch,Accuracy,Cross entropy,F1 score,Precision,Weight loss
0,0.0902586504817009,31.199399948120117,0.20647527277469635,0.12728534638881683,0.3939395248889923
1000,0.66131991147995,9.266060829162598,nan,nan,0.3940717577934265
2000,0.6779806017875671,9.683329582214355,nan,nan,0.39393186569213867
3000,0.8361949324607849,6.38955545425415,nan,nan,0.393987774848938
4000,0.6633650660514832,8.934388160705566,nan,0.46929728984832764,0.39410120248794556
5000,0.8420763611793518,5.982076168060303,nan,nan,0.3943225145339966
6000,0.5898184180259705,9.560663223266602,nan,nan,0.3945898711681366
7000,0.8417022228240967,4.662694454193115,nan,0.7284687757492065,0.3948550820350647
8000,0.9100664854049683,2.6396098136901855,nan,0.5254517793655396,0.3951523005962372
9000,0.6584814786911011,8.105895042419434,0.7869728803634644,0.6606398820877075,0.3954333961009979
10000,0.9188403487205505,3.2041635513305664,0.9422008991241455,0.8932288885116577,0.3957313597202301
11000,0.9193747043609619,3.1121273040771484,0.9109688997268677,0.8512055277824402,0.3960246741771698
12000,0.728037416934967,7.5053558349609375,0.816018283367157,0.6924375891685486,0.39630356431007385
13000,0.9176415205001831,2.505741596221924,0.952893078327179,0.912407398223877,0.3964930772781372
14000,0.9539918899536133,1.768662452697754,nan,0.8307130336761475,0.39664775133132935
15000,0.9526619911193848,1.7043486833572388,0.9581184387207031,0.9236262440681458,0.3967612385749817
16000,0.9080824255943298,2.7539401054382324,0.9317013025283813,0.875104546546936,0.39681923389434814
17000,0.7822762131690979,4.95894718170166,0.8554263114929199,0.7578508257865906,0.3967835307121277
18000,0.830173134803772,3.7938315868377686,0.9044859409332275,0.8315898776054382,0.39660757780075073
19000,0.9259247183799744,1.6008797883987427,0.916364848613739,0.8520585298538208,0.3962576389312744
20000,0.8590089082717896,1.0664055347442627,nan,0.7036352753639221,0.3953665792942047
21000,0.8434808254241943,0.6516598463058472,0.881535530090332,0.7916305661201477,0.39369702339172363
22000,0.9396227598190308,0.3378763198852539,0.9652808308601379,0.9332312941551208,0.39142996072769165
23000,0.8601956367492676,0.7893978953361511,nan,nan,0.3885986804962158
24000,0.9153300523757935,0.3633173704147339,0.9229824542999268,0.8608174920082092,0.38526052236557007
25000,0.9032251834869385,0.31987515091896057,0.9366806149482727,0.8845698833465576,0.3815159797668457
26000,0.9416083693504333,0.24186578392982483,0.9653964638710022,0.9335229396820068,0.37758663296699524
27000,0.9593825936317444,0.19098231196403503,0.9758524894714355,0.9531810283660889,0.37344419956207275
28000,0.9625642895698547,0.17074453830718994,0.9556841850280762,0.9166786074638367,0.3693883717060089
29000,0.5582108497619629,2.4126269817352295,0.6598141193389893,0.5110152363777161,0.3651241362094879
30000,0.9731501936912537,0.13313134014606476,nan,0.956369936466217,0.3610941767692566
31000,0.967341423034668,0.1619747281074524,0.97626793384552,0.9542785286903381,0.3569422960281372
32000,0.9615066647529602,0.18705035746097565,0.9759398102760315,0.953416109085083,0.35275062918663025
33000,0.9317326545715332,0.3438801169395447,0.943925142288208,0.9002976417541504,0.3486042618751526
34000,0.9214854836463928,0.3734974265098572,0.9438621997833252,0.8975844979286194,0.34449315071105957
35000,0.9757966995239258,0.12468734383583069,nan,nan,0.3403789699077606
36000,0.9316386580467224,0.3590448498725891,0.9615763425827026,0.9267269968986511,0.3364866375923157
37000,0.9686223268508911,0.14760150015354156,0.9768132567405701,0.9550518989562988,0.3325416147708893
38000,0.968504011631012,0.1578163057565689,0.9785257577896118,0.9581724405288696,0.3286336362361908
39000,0.9670602679252625,0.16689912974834442,0.9770548939704895,0.9555115103721619,0.32468554377555847
40000,0.9386153221130371,0.2895413935184479,0.9662120938301086,0.9353280067443848,0.32102763652801514
41000,0.9624626636505127,0.1702646017074585,0.9689475893974304,0.9403989911079407,0.31743574142456055
42000,0.9445738196372986,0.29152464866638184,0.9624098539352417,0.928276777267456,0.31354138255119324
43000,0.9740509390830994,0.12585221230983734,0.9822203516960144,0.9654089212417603,0.31000298261642456
44000,0.9755576848983765,0.10731669515371323,0.9861508011817932,0.972892165184021,0.3064495325088501
45000,0.9665077924728394,0.1452137529850006,0.9775502681732178,0.956501841545105,0.30294179916381836
46000,0.7616919875144958,0.718736469745636,0.8087674379348755,0.7031275629997253,0.2994995713233948
47000,0.9669098854064941,0.15750671923160553,0.9748954772949219,0.9515009522438049,0.2961183786392212
48000,0.9732415676116943,0.12703253328800201,nan,nan,0.2927146852016449
49000,0.9604071378707886,0.20514987409114838,0.9750729203224182,0.9522466659545898,0.289467990398407
