Epoch,Accuracy,Cross entropy,F1 score,Precision,Weight loss
0,0.2736716568470001,29.990570068359375,nan,0.07417643070220947,0.3939412832260132
1000,0.5666514039039612,17.958271026611328,nan,nan,0.34139934182167053
2000,0.5222592353820801,19.79855728149414,nan,nan,0.27683746814727783
3000,0.5463736057281494,18.79877281188965,nan,nan,0.24846822023391724
4000,0.5502150058746338,18.639617919921875,nan,nan,0.22263199090957642
5000,0.558287501335144,18.30705451965332,nan,nan,0.20230603218078613
6000,0.4950397312641144,20.926904678344727,nan,nan,0.18588131666183472
7000,0.5743227601051331,17.64035987854004,nan,nan,0.1733125001192093
8000,0.5993763208389282,16.600934982299805,nan,nan,0.1667570173740387
9000,0.4990795850753784,20.76683807373047,nan,nan,0.16560566425323486
10000,0.68414705991745,13.016901969909668,nan,nan,0.1644888073205948
11000,0.785541296005249,8.641999244689941,nan,nan,0.1644953340291977
12000,0.7732008099555969,8.33471965789795,nan,nan,0.16467717289924622
13000,0.9099833369255066,0.4819565713405609,nan,0.7912417650222778,0.1643199324607849
14000,0.8943515419960022,0.5657057166099548,nan,nan,0.16392932832241058
15000,0.9225555658340454,0.37612301111221313,nan,nan,0.16324344277381897
16000,0.9288166165351868,0.3406749367713928,nan,nan,0.16222095489501953
17000,0.9292976260185242,0.35392919182777405,nan,nan,0.16080522537231445
18000,0.9200815558433533,0.4005332589149475,nan,nan,0.15900559723377228
19000,0.9401605725288391,0.30111435055732727,nan,nan,0.1569405049085617
20000,0.9140352010726929,0.4011855721473694,nan,nan,0.15462134778499603
21000,0.9488590955734253,0.24362413585186005,nan,nan,0.1522444486618042
22000,0.9573663473129272,0.2094547152519226,nan,nan,0.14988256990909576
23000,0.9328585267066956,0.33930009603500366,nan,nan,0.14752240478992462
24000,0.9365336894989014,0.290334552526474,nan,nan,0.14526188373565674
25000,0.943509042263031,0.2696901559829712,nan,nan,0.1430654376745224
26000,0.9457497596740723,0.2699775695800781,nan,nan,0.1410098373889923
27000,0.9533858299255371,0.22801660001277924,nan,nan,0.13904544711112976
28000,0.9438661932945251,0.26382383704185486,nan,nan,0.13719090819358826
29000,0.9298664331436157,0.3362070620059967,nan,nan,0.13541832566261292
30000,0.9361830353736877,0.3127742409706116,nan,nan,0.13373935222625732
31000,0.9370058178901672,0.2939539849758148,nan,nan,0.13212713599205017
32000,0.9474169015884399,0.24827618896961212,nan,nan,0.13059116899967194
33000,0.9704144597053528,0.13898666203022003,nan,nan,0.12914727628231049
34000,0.9656583070755005,0.16778627038002014,nan,nan,0.12779152393341064
35000,0.9711607694625854,0.132732093334198,nan,nan,0.12648746371269226
36000,0.9564806818962097,0.20455338060855865,nan,nan,0.1252307891845703
37000,0.9123315811157227,0.38997381925582886,nan,nan,0.1240195482969284
38000,0.9594070911407471,0.18857870995998383,nan,nan,0.12289537489414215
39000,0.9763227701187134,0.10965759307146072,nan,nan,0.12180101126432419
40000,0.9752224087715149,0.12660685181617737,nan,nan,0.12075590342283249
41000,0.9604483842849731,0.19467520713806152,nan,nan,0.1197042316198349
42000,0.958653450012207,0.18177756667137146,nan,nan,0.11869265139102936
43000,0.950668215751648,0.23087093234062195,nan,nan,0.11772874742746353
44000,0.9628111720085144,0.1695844531059265,nan,nan,0.11679510027170181
45000,0.9649174213409424,0.17005370557308197,nan,nan,0.1158878281712532
46000,0.9497010111808777,0.22408846020698547,nan,nan,0.11500728875398636
47000,0.9742116928100586,0.11321808397769928,nan,nan,0.11418981850147247
48000,0.9532186985015869,0.21344523131847382,nan,nan,0.11341073364019394
49000,0.9712231755256653,0.1347101479768753,nan,nan,0.11259673535823822
