Epoch,Accuracy,Cross entropy,F1 score,Precision,Weight loss
0,0.07191412150859833,38.39276123046875,nan,0.13696740567684174,0.39398670196533203
1000,0.825405478477478,7.218018531799316,nan,nan,0.3914920687675476
2000,0.7429714798927307,10.63330364227295,nan,nan,0.3876134157180786
3000,0.7314151525497437,11.102375984191895,nan,nan,0.3836261034011841
4000,0.9336540102958679,2.7184910774230957,nan,nan,0.3817455768585205
5000,0.7726679444313049,9.39259147644043,nan,nan,0.3799941837787628
6000,0.9691206812858582,1.2433596849441528,nan,nan,0.3779965043067932
7000,0.910050630569458,3.7029547691345215,nan,nan,0.37588658928871155
8000,0.9278887510299683,2.9661741256713867,nan,nan,0.3737480640411377
9000,0.859611988067627,5.779247283935547,nan,nan,0.37158000469207764
10000,0.8391850590705872,6.605101108551025,nan,nan,0.3694116473197937
11000,0.8727299571037292,5.2280354499816895,nan,nan,0.3671655058860779
12000,0.8408476114273071,4.756776332855225,nan,nan,0.3649618923664093
13000,0.9615721106529236,1.5520625114440918,nan,nan,0.36271828413009644
14000,0.8435118198394775,5.3275532722473145,nan,nan,0.36054885387420654
15000,0.9727303385734558,1.0251368284225464,nan,nan,0.358356773853302
16000,0.91290682554245,2.751394748687744,nan,nan,0.35641777515411377
17000,0.9560209512710571,1.629462480545044,nan,nan,0.3546314537525177
18000,0.9737184047698975,0.8822430968284607,nan,nan,0.35274195671081543
19000,0.9245752692222595,2.860729455947876,nan,nan,0.35075175762176514
20000,0.8972843289375305,3.024233341217041,nan,nan,0.34864139556884766
21000,0.949974775314331,0.390200674533844,nan,nan,0.34588202834129333
22000,0.9248417615890503,0.38461530208587646,nan,nan,0.3406809866428375
23000,0.9701124429702759,0.14474736154079437,nan,nan,0.33360183238983154
24000,0.9587918519973755,0.19534319639205933,nan,nan,0.3255961537361145
25000,0.9670174717903137,0.1494181901216507,nan,nan,0.3164518177509308
26000,0.9560511112213135,0.1856137067079544,nan,nan,0.3075181245803833
27000,0.9825844168663025,0.08945643901824951,nan,nan,0.2983294427394867
28000,0.9602433443069458,0.19382454454898834,nan,nan,0.2893485426902771
29000,0.9625006914138794,0.17564909160137177,nan,nan,0.2808697819709778
30000,0.9758419394493103,0.11628987640142441,nan,nan,0.2725009322166443
31000,0.958225667476654,0.1908697932958603,nan,nan,0.26432397961616516
32000,0.9702046513557434,0.15055526793003082,nan,nan,0.25666797161102295
33000,0.9790412783622742,0.10044679045677185,nan,nan,0.24932467937469482
34000,0.9637370705604553,0.18924330174922943,nan,nan,0.24237722158432007
35000,0.963677704334259,0.16532008349895477,nan,nan,0.23576922714710236
36000,0.9711108803749084,0.12805217504501343,nan,nan,0.229613795876503
37000,0.9790579080581665,0.09087701886892319,nan,nan,0.22366096079349518
38000,0.9731729626655579,0.12285169214010239,nan,nan,0.21807001531124115
39000,0.9723976850509644,0.132055401802063,nan,nan,0.21276850998401642
40000,0.9835191369056702,0.07106084376573563,nan,nan,0.2075611650943756
41000,0.980045735836029,0.09216544032096863,nan,nan,0.2026781290769577
42000,0.9579583406448364,0.19402989745140076,nan,nan,0.19795078039169312
43000,0.9734811782836914,0.11948120594024658,nan,nan,0.1936238408088684
44000,0.9744757413864136,0.1155468299984932,nan,nan,0.1893959939479828
45000,0.9646295309066772,0.15782487392425537,nan,nan,0.18546068668365479
46000,0.9750381112098694,0.11411380767822266,nan,nan,0.18162840604782104
47000,0.9757714867591858,0.11195589601993561,nan,nan,0.17807376384735107
48000,0.9681054949760437,0.15451966226100922,nan,nan,0.17464393377304077
49000,0.9693241119384766,0.13229158520698547,nan,nan,0.17120006680488586
